DISTRITO,TECNOLOGIA,RANGO_VELOC_BAJADA,EMPRESA
ANCON,FibraOptica,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,FibraOptica,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,FibraOptica,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,FibraOptica,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,FibraOptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,FibraOptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,FibraOptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,FibraOptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,FibraOptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,FibraOptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,FibraOptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,FibraOptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,FibraOptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,FibraOptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,FibraOptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,FibraOptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,FibraOptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,FibraOptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,FibraOptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,FibraOptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,FibraOptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,OtrasTecnologias,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,OtrasTecnologias,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,OtrasTecnologias,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,OtrasTecnologias,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,OtrasTecnologias,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,OtrasTecnologias,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,OtrasTecnologias,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,OtrasTecnologias,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,OtrasTecnologias,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,OtrasTecnologias,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,OtrasTecnologias,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,OtrasTecnologias,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
