DISTRITO,TECNOLOGÍA,RANGO_VELOC_BAJADA,EMPRESA
ANCON,Fibra Óptica,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,Fibra Óptica,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,Fibra Óptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,Fibra Óptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,Fibra Óptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,Otras Tecnologías,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,Otras Tecnologías,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.
ANCON,Otras Tecnologías,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,Otras Tecnologías,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
ANCON,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
ATE,Cablemódem,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.
ATE,Cablemódem,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.
ATE,Cablemódem,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
ATE,Cablemódem,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
ATE,Cablemódem,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
ATE,Cablemódem,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
ATE,Cablemódem,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
ATE,Cablemódem,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
ATE,Cablemódem,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.
ATE,Cablemódem,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.
ATE,Cablemódem,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
ATE,Cablemódem,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
ATE,Cablemódem,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
ATE,Cablemódem,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
ATE,Cablemódem,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
ATE,Cablemódem,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
ATE,Fibra Óptica,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
ATE,Fibra Óptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
ATE,Fibra Óptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
ATE,Fibra Óptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
ATE,Fibra Óptica,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
ATE,Fibra Óptica,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
ATE,Fibra Óptica,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
ATE,Fibra Óptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
ATE,Fibra Óptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
ATE,Fibra Óptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
ATE,Otras Tecnologías,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
ATE,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
ATE,Otras Tecnologías,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.
ATE,Otras Tecnologías,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.
ATE,Otras Tecnologías,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
ATE,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
ATE,Otras Tecnologías,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
BARRANCO,Cablemódem,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
BARRANCO,Cablemódem,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
BARRANCO,Cablemódem,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
BARRANCO,Cablemódem,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
BARRANCO,Cablemódem,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
BARRANCO,Cablemódem,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
BARRANCO,Cablemódem,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.
BARRANCO,Cablemódem,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
BARRANCO,Cablemódem,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
BARRANCO,Cablemódem,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
BARRANCO,Cablemódem,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
BARRANCO,Cablemódem,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
BARRANCO,Cablemódem,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
BARRANCO,Fibra Óptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
BARRANCO,Fibra Óptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
BARRANCO,Fibra Óptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
BARRANCO,Fibra Óptica,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
BARRANCO,Fibra Óptica,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
BARRANCO,Fibra Óptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
BARRANCO,Fibra Óptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
BARRANCO,Fibra Óptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
BARRANCO,Otras Tecnologías,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
BARRANCO,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
BARRANCO,Otras Tecnologías,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.
BARRANCO,Otras Tecnologías,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.
BARRANCO,Otras Tecnologías,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
BARRANCO,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
BREÑA,Cablemódem,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.
BREÑA,Cablemódem,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.
BREÑA,Cablemódem,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
BREÑA,Cablemódem,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
BREÑA,Cablemódem,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
BREÑA,Cablemódem,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
BREÑA,Cablemódem,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
BREÑA,Cablemódem,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
BREÑA,Cablemódem,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.
BREÑA,Cablemódem,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.
